Cod_Instrument,Nume_Instrument,Categorie,Subcategorie,Furnizor,Tara_Origine,Material,Pret_Unitar_EUR,Cantitate,Valoare_Totala_EUR,Data_Achizitie,Garantie_Luni,Data_Expirare_Garantie,Conditie,Stoc_Minim,Rating_Calitate,Autoclavabil,Utilizari_Maxime,Note
GEN-0010,Excavator dublu 17/18,General,Diagnostic,Kerr Dental,SUA,Otel inoxidabil,70.78,13,920.14,2024-04-12,60,2029-03-17,Demo,5,3.9,Da,1000,Lot special
END-0020,Ace rotative Reciproc Blue 25,Endodontie,Diagnostic,KaVo Kerr,Germania,Aliaj titan-nichel,109.73,10,1097.3,2021-06-05,12,2022-05-31,Nou,5,4.1,Da,500,Recomandat de medic specialist
RAD-0036,Tablier protectie plumb pediatric,Radiologie,Profilaxie,KaVo Kerr,Germania,Silicon medical,282.4,14,3953.6,2024-02-23,36,2027-02-07,Nou,3,4.0,Da,50,Verificat la receptie
PAR-0016,Set chiurete Gracey complet (7 piese),Parodontologie,Sterilizare,Satelec,Franta,Otel inoxidabil german,788.74,17,13408.58,2021-07-05,36,2024-06-19,Nou,1,4.3,Nu,500,Sterilizabil autoclav
GEN-0002,Oglinda dentara nr.5,General,Sterilizare,Henry Schein Dental,SUA,Otel inoxidabil,38.96,20,779.2,2020-04-18,60,2025-03-23,Nou,5,4.1,Da,Nelimitat,Livrare urgenta
END-0008,Ace Hedstrom 25mm (6 buc),Endodontie,Chirurgie,KaVo Kerr,Germania,Aliaj titan-nichel,23.6,4,94.4,2021-07-26,6,2022-01-22,Nou,2,3.7,Da,500,Sterilizabil autoclav
END-0058,Ruler endodontic,Endodontie,Profilaxie,Dentsply Sirona,Germania,Otel inoxidabil,34.86,1,34.86,2020-07-16,6,2021-01-12,Nou,4,3.7,Da,50,Verificat la receptie
END-0024,Motor endodontic X-Smart Plus,Endodontie,Chirurgie,KaVo Kerr,Germania,Aliaj titan-nichel,2190.38,3,6571.14,2020-05-16,24,2022-05-06,Nou,3,4.9,Da,200,
ORT-0020,Cleste Mathieu needle holder,Ortodontie,Tratament,Dentsply Sirona,Germania,Otel inoxidabil,94.0,2,188.0,2020-06-01,24,2022-05-22,Demo,1,3.6,Nu,200,Lot special
CHI-0076,Pensa Kocher dreapta,Chirurgie Orala,Sterilizare,GC Europe,Belgia,Otel inoxidabil german,88.14,4,352.56,2023-07-16,36,2026-06-30,Nou,5,3.6,Nu,500,
CHI-0044,Retractor Langenbeck,Chirurgie Orala,Diagnostic,KaVo Kerr,Germania,Otel inoxidabil german,92.09,2,184.18,2023-09-14,6,2024-03-12,Nou,2,3.6,Nu,50,Sterilizabil autoclav
